gencode_id,expression
ENSG00000066136,23.9779
ENSG00000198974,0.0
ENSG00000207962,0.0
ENSG00000117013,0.47123292
ENSG00000264582,0.03926941
ENSG00000179862,14.804566
ENSG00000233118,0.0
ENSG00000171793,5.8118725
ENSG00000281207,0.102100454
ENSG00000171790,0.12566212
ENSG00000010803,12.11854
ENSG00000215893,0.007853882
ENSG00000204060,0.5576256
ENSG00000252563,0.0
ENSG00000127129,0.03926941
ENSG00000127124,16.32822
ENSG00000227538,0.007853882
ENSG00000044012,0.52621007
ENSG00000197273,0.8717809
ENSG00000198815,12.456257
ENSG00000177181,2.4739728
ENSG00000066185,0.6440183
ENSG00000127125,51.87489
ENSG00000186409,2.717443
ENSG00000236876,0.04712329
ENSG00000200254,0.007853882
ENSG00000171960,22.391417
ENSG00000065978,564.3956
ENSG00000164007,0.22776257
ENSG00000117385,31.92603
ENSG00000164008,4.5316896
ENSG00000274386,0.14922374
ENSG00000177868,43.471233
ENSG00000164010,2.929498
ENSG00000164011,5.2228312
ENSG00000225099,0.015707765
ENSG00000117394,4.8065753
ENSG00000207256,0.0
ENSG00000117395,33.97589
ENSG00000284410,0.0
ENSG00000243710,0.09424658
ENSG00000199240,0.0
ENSG00000179178,0.3377169
ENSG00000253313,0.12566212
ENSG00000066056,24.339178
ENSG00000117400,0.007853882
ENSG00000117399,2.3718722
ENSG00000066322,26.821007
ENSG00000283836,0.0
ENSG00000159479,27.425755
ENSG00000198198,5.5605483
ENSG00000229372,0.007853882
ENSG00000274975,0.0
ENSG00000178922,35.63306
ENSG00000229348,0.09424658
ENSG00000142949,3.8641098
ENSG00000066135,8.552877
ENSG00000236200,0.32986304
ENSG00000126091,4.979361
ENSG00000283477,0.015707765
ENSG00000224751,0.0
ENSG00000117407,0.3063014
ENSG00000117408,5.2071238
ENSG00000132768,6.2124205
ENSG00000117410,110.394165
ENSG00000117411,7.3119636
ENSG00000159214,2.0184474
ENSG00000196517,2.0184474
ENSG00000271647,0.0
ENSG00000239560,0.0
ENSG00000171872,0.08639269
ENSG00000283039,0.0
ENSG00000238037,0.0
ENSG00000178028,21.28402
ENSG00000117419,28.34466
ENSG00000233602,0.007853882
ENSG00000199385,0.0
ENSG00000187147,12.597626
ENSG00000263381,0.0
ENSG00000126106,7.5475802
ENSG00000199377,7.7282195
ENSG00000200169,2.9530594
ENSG00000142945,0.7147032
ENSG00000142937,1950.9199
ENSG00000264294,0.0
ENSG00000200913,0.007853882
ENSG00000202031,4.5081277
ENSG00000281859,0.0
ENSG00000234093,18.896439
ENSG00000142959,1.0288585
ENSG00000173846,106.066666
ENSG00000222009,9.856622
ENSG00000117425,11.050411
ENSG00000202444,0.0
ENSG00000070785,18.99854
ENSG00000253039,0.015707765
ENSG00000229815,0.0
ENSG00000268949,0.08639269
ENSG00000126107,5.576256
ENSG00000126088,39.34009
ENSG00000162415,0.62831056
ENSG00000234315,0.007853882
ENSG00000281912,0.14136986
ENSG00000186603,0.32200915
ENSG00000132781,7.861736
ENSG00000132773,6.7936077
ENSG00000070759,4.4217353
ENSG00000280670,1.0288585
ENSG00000132763,1.6414613
ENSG00000117450,382.4212
ENSG00000234379,0.015707765
ENSG00000117448,76.905205
ENSG00000132780,101.55854
ENSG00000159588,0.596895
ENSG00000159592,31.878906
ENSG00000225447,3.3693151
ENSG00000159596,16.705206
ENSG00000197429,4.4610047
ENSG00000086015,6.589407
ENSG00000232467,0.04712329
ENSG00000117461,23.970047
ENSG00000117472,2.1441097
ENSG00000085998,11.749407
ENSG00000171357,3.7777169
ENSG00000085999,0.26703197
ENSG00000132128,27.967674
ENSG00000173660,259.0603
ENSG00000117481,7.4611874
ENSG00000117480,2.8588128
ENSG00000232022,0.3926941
ENSG00000224863,0.0
ENSG00000197587,0.007853882
ENSG00000269956,0.007853882
ENSG00000162456,0.0
ENSG00000079277,18.904293
ENSG00000142961,8.63927
ENSG00000123472,15.283653
ENSG00000233647,0.007853882
ENSG00000186118,0.015707765
ENSG00000228237,0.007853882
ENSG00000159658,30.009682
ENSG00000142973,0.07853882
ENSG00000154198,0.0
ENSG00000187048,0.0
ENSG00000259832,0.0
ENSG00000261196,0.0
ENSG00000261593,0.0
ENSG00000261290,0.0
ENSG00000186377,1.0838356
ENSG00000186160,0.0
ENSG00000225506,0.03926941
ENSG00000162365,0.007853882
ENSG00000225514,0.0
ENSG00000224805,0.40840182
ENSG00000162366,0.730411
ENSG00000162367,3.3928769
ENSG00000123473,0.9189042
ENSG00000162368,65.61919
ENSG00000225762,0.03141553
ENSG00000186790,0.05497717
